2020/03/15 111720/1747231
2020/03/14 450176/1518468
2020/03/13 80816/3570197
2020/03/12 46390/1395926
2020/03/11 747571/2464714
2020/03/10 82525/2399178
2020/03/09 10274/417165
2020/03/07 35556/549241
2020/03/06 99057/3641612
2020/03/05 126680/3111224
2020/03/04 89049/3290503
2020/03/03 124651/2307264
2020/03/02 102306/831999
2020/03/01 168487/3913372
2020/02/29 187825/6268503
2020/02/28 150053/2142918
2020/02/27 217922/3879644
2020/02/26 147381/1726820
2020/02/25 4329/62128
2020/02/24 171/883
2020/02/23 169120/3381284
2020/02/22 74649/1217883
2020/02/21 38916/598668
2020/02/19 6258/37155
2020/02/17 18/31
2020/02/16 354530/2143242
2020/02/15 44038/494657
2020/02/14 62852/1717817
2020/02/11 13084/261773
2020/02/10 26035/528380
2020/01/31 11104/218970
2020/01/30 126033/1571456
2020/01/29 77047/3346173
2020/01/28 59162/2259089
2020/01/27 980278/4317840
2020/01/26 111167/1997632
2020/01/25 50132/929863
2020/01/24 1795272/3804672
2020/01/23 27809/588942
2020/01/22 2764/46718
2020/01/20 522293/2850474
2020/01/17 1430/40908
2020/01/16 62495/1867218
2020/01/15 944066/3272298
2020/01/14 81454/4204628
2020/01/13 23328/256783
2020/01/12 17668/595614
2020/01/11 234939/1952349
2020/01/10 83647/2319612
2020/01/09 158757/4471548
2020/01/08 221948/5308982
2020/01/07 680493/2412984
2020/01/06 307634/1821006
2020/01/05 201287/901739
2020/01/04 31474/382705
2020/01/03 73691/1906052
2020/01/02 48846/1463250
2020/01/01 105847/1264195
2019/12/31 10021/114798
2019/12/30 88302/1783340
2019/12/29 49470/415882
2019/12/28 66096/1094217
2019/12/27 15479/265780
2019/12/26 176863/5014938
2019/12/25 52995/1469728
2019/12/24 262581/781085
2019/12/23 437957/2348646
2019/12/22 354587/2933177
2019/12/19 493898/3733385
2019/12/18 326802/3381789
2019/12/17 108485/801958
2019/12/16 203151/1059188
2019/12/15 893423/5919783
2019/12/14 611354/5820769
2019/12/13 384471/2126510
2019/12/12 337318/2144058
2019/12/11 195681/2264197
2019/12/10 62139/713425
2019/12/09 179245/2656431
2019/12/08 81170/2125312
